table_name,column_name,dtype
final_weather_timeseries,timestep_index,int64
final_weather_timeseries,timestamp,object
final_weather_timeseries,timestamp_local,object
final_weather_timeseries,datetime,datetime64[ns]
final_weather_timeseries,year,int64
final_weather_timeseries,month,int64
final_weather_timeseries,day,int64
final_weather_timeseries,hour,int32
final_weather_timeseries,minute,int32
final_weather_timeseries,dayofyear,int32
final_weather_timeseries,dayofweek,int32
final_weather_timeseries,day_name,object
final_weather_timeseries,is_weekend,bool
final_weather_timeseries,hour_decimal,float64
final_weather_timeseries,simulation_time,float64
final_weather_timeseries,simulation_time_hours,float64
final_weather_timeseries,simulation_day,int64
final_weather_timeseries,simulation_timestep,int64
final_weather_timeseries,simulation_timestamp_key,object
final_weather_timeseries,records_per_hour,int64
final_weather_timeseries,timestep_minutes,int64
final_weather_timeseries,period_label,object
final_weather_timeseries,scenario_name,object
final_weather_timeseries,outdoor_temp_c,float64
final_weather_timeseries,outdoor_dewpoint_c,float64
final_weather_timeseries,outdoor_rh_pct,float64
final_weather_timeseries,atmospheric_pressure_pa,float64
final_weather_timeseries,extraterrestrial_horizontal_radiation_wh_m2,float64
final_weather_timeseries,extraterrestrial_direct_normal_radiation_wh_m2,float64
final_weather_timeseries,horizontal_infrared_radiation_wh_m2,float64
final_weather_timeseries,global_horizontal_radiation_wh_m2,float64
final_weather_timeseries,direct_normal_radiation_wh_m2,float64
final_weather_timeseries,diffuse_horizontal_radiation_wh_m2,float64
final_weather_timeseries,global_horizontal_radiation_w_m2,float64
final_weather_timeseries,direct_normal_radiation_w_m2,float64
final_weather_timeseries,diffuse_horizontal_radiation_w_m2,float64
final_weather_timeseries,wind_direction_deg,float64
final_weather_timeseries,wind_speed_m_s,float64
final_weather_timeseries,total_sky_cover_tenths,float64
final_weather_timeseries,opaque_sky_cover_tenths,float64
final_weather_timeseries,visibility_km,float64
final_weather_timeseries,ceiling_height_m,float64
final_weather_timeseries,present_weather_observation,object
final_weather_timeseries,present_weather_codes,object
final_weather_timeseries,precipitable_water_mm,float64
final_weather_timeseries,aerosol_optical_depth,float64
final_weather_timeseries,snow_depth_cm,float64
final_weather_timeseries,days_since_last_snow,float64
final_weather_timeseries,albedo,float64
final_weather_timeseries,liquid_precip_depth_mm,float64
final_weather_timeseries,liquid_precip_quantity_hr,float64
final_weather_timeseries,weather_source,object
final_weather_timeseries,weather_year,int64
final_weather_timeseries,weather_quality_flag,object
final_weather_timeseries,epw_source_file,object
final_weather_timeseries,epw_city,object
final_weather_timeseries,epw_state,object
final_weather_timeseries,epw_country,object
final_weather_timeseries,epw_data_source,object
final_weather_timeseries,epw_wmo,object
final_weather_timeseries,epw_latitude,float64
final_weather_timeseries,epw_longitude,float64
final_weather_timeseries,epw_timezone,float64
final_weather_timeseries,epw_elevation_m,float64
final_weather_timeseries,epw_hour,int64
final_weather_timeseries,epw_minute,int64
final_weather_timeseries,epw_year,int64
final_weather_timeseries,concrete_year_retained,bool
final_weather_timeseries,source_timezone,object
final_weather_timeseries,source_api,object
final_weather_timeseries,source_interval_minutes,int64
final_weather_timeseries,provenance_note,object
final_ai_training_timeseries,timestep_index,int64
final_ai_training_timeseries,timestamp,object
final_ai_training_timeseries,timestamp_local,object
final_ai_training_timeseries,datetime,datetime64[ns]
final_ai_training_timeseries,year,int64
final_ai_training_timeseries,month,int64
final_ai_training_timeseries,day,int64
final_ai_training_timeseries,hour,int32
final_ai_training_timeseries,minute,int32
final_ai_training_timeseries,dayofyear,int32
final_ai_training_timeseries,dayofweek,int32
final_ai_training_timeseries,day_name,object
final_ai_training_timeseries,is_weekend,bool
final_ai_training_timeseries,hour_decimal,float64
final_ai_training_timeseries,simulation_time,float64
final_ai_training_timeseries,simulation_time_hours,float64
final_ai_training_timeseries,simulation_day,int64
final_ai_training_timeseries,simulation_timestep,int64
final_ai_training_timeseries,simulation_timestamp_key,object
final_ai_training_timeseries,records_per_hour,int64
final_ai_training_timeseries,timestep_minutes,int64
final_ai_training_timeseries,period_label,object
final_ai_training_timeseries,scenario_name,object
final_ai_training_timeseries,outdoor_temp_c,float64
final_ai_training_timeseries,outdoor_dewpoint_c,float64
final_ai_training_timeseries,outdoor_rh_pct,float64
final_ai_training_timeseries,atmospheric_pressure_pa,float64
final_ai_training_timeseries,extraterrestrial_horizontal_radiation_wh_m2,float64
final_ai_training_timeseries,extraterrestrial_direct_normal_radiation_wh_m2,float64
final_ai_training_timeseries,horizontal_infrared_radiation_wh_m2,float64
final_ai_training_timeseries,global_horizontal_radiation_wh_m2,float64
final_ai_training_timeseries,direct_normal_radiation_wh_m2,float64
final_ai_training_timeseries,diffuse_horizontal_radiation_wh_m2,float64
final_ai_training_timeseries,global_horizontal_radiation_w_m2,float64
final_ai_training_timeseries,direct_normal_radiation_w_m2,float64
final_ai_training_timeseries,diffuse_horizontal_radiation_w_m2,float64
final_ai_training_timeseries,wind_direction_deg,float64
final_ai_training_timeseries,wind_speed_m_s,float64
final_ai_training_timeseries,total_sky_cover_tenths,float64
final_ai_training_timeseries,opaque_sky_cover_tenths,float64
final_ai_training_timeseries,visibility_km,float64
final_ai_training_timeseries,ceiling_height_m,float64
final_ai_training_timeseries,present_weather_observation,object
final_ai_training_timeseries,present_weather_codes,object
final_ai_training_timeseries,precipitable_water_mm,float64
final_ai_training_timeseries,aerosol_optical_depth,float64
final_ai_training_timeseries,snow_depth_cm,float64
final_ai_training_timeseries,days_since_last_snow,float64
final_ai_training_timeseries,albedo,float64
final_ai_training_timeseries,liquid_precip_depth_mm,float64
final_ai_training_timeseries,liquid_precip_quantity_hr,float64
final_ai_training_timeseries,weather_source,object
final_ai_training_timeseries,weather_year,int64
final_ai_training_timeseries,weather_quality_flag,object
final_ai_training_timeseries,epw_source_file,object
final_ai_training_timeseries,epw_city,object
final_ai_training_timeseries,epw_state,object
final_ai_training_timeseries,epw_country,object
final_ai_training_timeseries,epw_data_source,object
final_ai_training_timeseries,epw_wmo,object
final_ai_training_timeseries,epw_latitude,float64
final_ai_training_timeseries,epw_longitude,float64
final_ai_training_timeseries,epw_timezone,float64
final_ai_training_timeseries,epw_elevation_m,float64
final_ai_training_timeseries,epw_hour,int64
final_ai_training_timeseries,epw_minute,int64
final_ai_training_timeseries,epw_year,int64
final_ai_training_timeseries,concrete_year_retained,bool
final_ai_training_timeseries,source_timezone,object
final_ai_training_timeseries,source_api,object
final_ai_training_timeseries,source_interval_minutes,int64
final_ai_training_timeseries,provenance_note,object
final_ai_training_timeseries,zone_id,object
final_ai_training_timeseries,eplus_zone_name,object
final_ai_training_timeseries,room_id,object
final_ai_training_timeseries,room_name,object
final_ai_training_timeseries,floor_id,object
final_ai_training_timeseries,room_type,object
final_ai_training_timeseries,area_m2,float64
final_ai_training_timeseries,area_source,object
final_ai_training_timeseries,area_confidence,object
final_ai_training_timeseries,final_lpd_w_m2,float64
final_ai_training_timeseries,lpd_total_design_power_w,float64
final_ai_training_timeseries,lpd_source,object
final_ai_training_timeseries,lpd_method,object
final_ai_training_timeseries,lpd_confidence,object
final_ai_training_timeseries,lpd_qa_flags,object
final_ai_training_timeseries,fixture_count_total,int64
final_ai_training_timeseries,fixture_count_valid_power,int64
final_ai_training_timeseries,fixture_count_imputed_power,int64
final_ai_training_timeseries,fixture_count_zero_or_missing_power,int64
final_ai_training_timeseries,manual_review,bool
final_ai_training_timeseries,notes,object
final_ai_training_timeseries,outlet_count,int64
final_ai_training_timeseries,outlet_density_per_100m2,float64
final_ai_training_timeseries,final_epd_w_m2,float64
final_ai_training_timeseries,epd_total_design_power_w,float64
final_ai_training_timeseries,epd_source,object
final_ai_training_timeseries,epd_method,object
final_ai_training_timeseries,epd_confidence,object
final_ai_training_timeseries,epd_qa_flags,object
final_ai_training_timeseries,sql_floor_area_m2,float64
final_ai_training_timeseries,sql_volume_m3,float64
final_ai_training_timeseries,sql_ceiling_height_m,float64
final_ai_training_timeseries,area_m2_original,float64
final_ai_training_timeseries,area_m2_final,float64
final_ai_training_timeseries,area_m2_final_source,object
final_ai_training_timeseries,volume_m3_final,float64
final_ai_training_timeseries,height_m_final,float64
final_ai_training_timeseries,lpd_total_design_power_w_final,float64
final_ai_training_timeseries,epd_total_design_power_w_final,float64
final_ai_training_timeseries,cooling_setpoint_c,float64
final_ai_training_timeseries,heating_setpoint_c,float64
final_ai_training_timeseries,zone_air_relative_humidity_pct,float64
final_ai_training_timeseries,zone_air_temperature_c,float64
final_ai_training_timeseries,zone_people_occupant_count,float64
final_ai_training_timeseries,equipment_electricity_j,float64
final_ai_training_timeseries,lights_electricity_j,float64
final_ai_training_timeseries,zone_total_electricity_j,float64
final_ai_training_timeseries,cooling_electricity_j,float64
final_ai_training_timeseries,cooling_power_w,float64
final_ai_training_timeseries,fan_electricity_j,float64
final_ai_training_timeseries,fan_power_w,float64
final_ai_training_timeseries,heating_electricity_j,float64
final_ai_training_timeseries,heating_power_w,float64
final_ai_training_timeseries,ptac_electricity_j,float64
final_ai_training_timeseries,ptac_power_w,float64
final_ai_training_timeseries,lights_electricity_kwh,float64
final_ai_training_timeseries,lights_electricity_kw,float64
final_ai_training_timeseries,equipment_electricity_kwh,float64
final_ai_training_timeseries,equipment_electricity_kw,float64
final_ai_training_timeseries,zone_total_electricity_kwh,float64
final_ai_training_timeseries,zone_total_electricity_kw,float64
final_ai_training_timeseries,fan_electricity_kwh,float64
final_ai_training_timeseries,fan_electricity_kw,float64
final_ai_training_timeseries,cooling_electricity_kwh,float64
final_ai_training_timeseries,cooling_electricity_kw,float64
final_ai_training_timeseries,heating_electricity_kwh,float64
final_ai_training_timeseries,heating_electricity_kw,float64
final_ai_training_timeseries,ptac_electricity_kwh,float64
final_ai_training_timeseries,ptac_electricity_kw,float64
final_ai_training_timeseries,fan_power_kw,float64
final_ai_training_timeseries,cooling_power_kw,float64
final_ai_training_timeseries,heating_power_kw,float64
final_ai_training_timeseries,ptac_power_kw,float64
final_ai_training_timeseries,hvac_electricity_kwh,float64
final_ai_training_timeseries,hvac_power_kw,float64
final_ai_training_timeseries,hvac_aggregation_method,object
final_ai_training_timeseries,lights_design_power_kw,float64
final_ai_training_timeseries,equipment_design_power_kw,float64
final_ai_training_timeseries,target_lights_power_kw,float64
final_ai_training_timeseries,target_equipment_power_kw,float64
final_ai_training_timeseries,target_hvac_power_kw,float64
final_ai_training_timeseries,target_total_zone_power_kw,float64
final_ai_training_timeseries,dataset_split,object
final_ai_training_timeseries,is_train,bool
final_ai_training_timeseries,is_validation,bool
final_ai_training_timeseries,is_test,bool
final_ai_training_timeseries,target_source,object
final_ai_training_timeseries,simulation_run_id,object
final_ai_training_timeseries,source_energyplus_sql,object
final_ai_training_timeseries,source_zone_lpd_epd,object
final_ai_training_timeseries,electricity_facility_kw,float64
final_ai_training_timeseries,electricity_hvac_kw,float64
final_ai_training_timeseries,interiorlights_electricity_kw,float64
final_ai_training_timeseries,interiorequipment_electricity_kw,float64
final_ai_training_timeseries,electricity_facility_kwh,float64
final_ai_training_timeseries,electricity_hvac_kwh,float64
final_ai_training_timeseries,interiorlights_electricity_kwh,float64
final_ai_training_timeseries,interiorequipment_electricity_kwh,float64
final_ai_training_timeseries,target_facility_power_kw,float64
final_ai_training_timeseries,target_building_hvac_power_kw,float64
final_ai_training_timeseries,building_meter_context_source,object
final_zone_device_power_timeseries,timestep_index,int64
final_zone_device_power_timeseries,timestamp,object
final_zone_device_power_timeseries,timestamp_local,object
final_zone_device_power_timeseries,datetime,datetime64[ns]
final_zone_device_power_timeseries,year,int64
final_zone_device_power_timeseries,month,int64
final_zone_device_power_timeseries,day,int64
final_zone_device_power_timeseries,hour,int32
final_zone_device_power_timeseries,minute,int32
final_zone_device_power_timeseries,dayofyear,int32
final_zone_device_power_timeseries,dayofweek,int32
final_zone_device_power_timeseries,day_name,object
final_zone_device_power_timeseries,is_weekend,bool
final_zone_device_power_timeseries,hour_decimal,float64
final_zone_device_power_timeseries,simulation_time,float64
final_zone_device_power_timeseries,simulation_time_hours,float64
final_zone_device_power_timeseries,simulation_day,int64
final_zone_device_power_timeseries,simulation_timestep,int64
final_zone_device_power_timeseries,simulation_timestamp_key,object
final_zone_device_power_timeseries,records_per_hour,int64
final_zone_device_power_timeseries,timestep_minutes,int64
final_zone_device_power_timeseries,period_label,object
final_zone_device_power_timeseries,scenario_name,object
final_zone_device_power_timeseries,outdoor_temp_c,float64
final_zone_device_power_timeseries,outdoor_dewpoint_c,float64
final_zone_device_power_timeseries,outdoor_rh_pct,float64
final_zone_device_power_timeseries,atmospheric_pressure_pa,float64
final_zone_device_power_timeseries,extraterrestrial_horizontal_radiation_wh_m2,float64
final_zone_device_power_timeseries,extraterrestrial_direct_normal_radiation_wh_m2,float64
final_zone_device_power_timeseries,horizontal_infrared_radiation_wh_m2,float64
final_zone_device_power_timeseries,global_horizontal_radiation_wh_m2,float64
final_zone_device_power_timeseries,direct_normal_radiation_wh_m2,float64
final_zone_device_power_timeseries,diffuse_horizontal_radiation_wh_m2,float64
final_zone_device_power_timeseries,global_horizontal_radiation_w_m2,float64
final_zone_device_power_timeseries,direct_normal_radiation_w_m2,float64
final_zone_device_power_timeseries,diffuse_horizontal_radiation_w_m2,float64
final_zone_device_power_timeseries,wind_direction_deg,float64
final_zone_device_power_timeseries,wind_speed_m_s,float64
final_zone_device_power_timeseries,total_sky_cover_tenths,float64
final_zone_device_power_timeseries,opaque_sky_cover_tenths,float64
final_zone_device_power_timeseries,visibility_km,float64
final_zone_device_power_timeseries,ceiling_height_m,float64
final_zone_device_power_timeseries,present_weather_observation,object
final_zone_device_power_timeseries,present_weather_codes,object
final_zone_device_power_timeseries,precipitable_water_mm,float64
final_zone_device_power_timeseries,aerosol_optical_depth,float64
final_zone_device_power_timeseries,snow_depth_cm,float64
final_zone_device_power_timeseries,days_since_last_snow,float64
final_zone_device_power_timeseries,albedo,float64
final_zone_device_power_timeseries,liquid_precip_depth_mm,float64
final_zone_device_power_timeseries,liquid_precip_quantity_hr,float64
final_zone_device_power_timeseries,weather_source,object
final_zone_device_power_timeseries,weather_year,int64
final_zone_device_power_timeseries,weather_quality_flag,object
final_zone_device_power_timeseries,epw_source_file,object
final_zone_device_power_timeseries,epw_city,object
final_zone_device_power_timeseries,epw_state,object
final_zone_device_power_timeseries,epw_country,object
final_zone_device_power_timeseries,epw_data_source,object
final_zone_device_power_timeseries,epw_wmo,object
final_zone_device_power_timeseries,epw_latitude,float64
final_zone_device_power_timeseries,epw_longitude,float64
final_zone_device_power_timeseries,epw_timezone,float64
final_zone_device_power_timeseries,epw_elevation_m,float64
final_zone_device_power_timeseries,epw_hour,int64
final_zone_device_power_timeseries,epw_minute,int64
final_zone_device_power_timeseries,epw_year,int64
final_zone_device_power_timeseries,concrete_year_retained,bool
final_zone_device_power_timeseries,source_timezone,object
final_zone_device_power_timeseries,source_api,object
final_zone_device_power_timeseries,source_interval_minutes,int64
final_zone_device_power_timeseries,provenance_note,object
final_zone_device_power_timeseries,zone_id,object
final_zone_device_power_timeseries,eplus_zone_name,object
final_zone_device_power_timeseries,room_id,object
final_zone_device_power_timeseries,room_name,object
final_zone_device_power_timeseries,floor_id,object
final_zone_device_power_timeseries,room_type,object
final_zone_device_power_timeseries,area_m2,float64
final_zone_device_power_timeseries,area_source,object
final_zone_device_power_timeseries,area_confidence,object
final_zone_device_power_timeseries,final_lpd_w_m2,float64
final_zone_device_power_timeseries,lpd_total_design_power_w,float64
final_zone_device_power_timeseries,lpd_source,object
final_zone_device_power_timeseries,lpd_method,object
final_zone_device_power_timeseries,lpd_confidence,object
final_zone_device_power_timeseries,lpd_qa_flags,object
final_zone_device_power_timeseries,fixture_count_total,int64
final_zone_device_power_timeseries,fixture_count_valid_power,int64
final_zone_device_power_timeseries,fixture_count_imputed_power,int64
final_zone_device_power_timeseries,fixture_count_zero_or_missing_power,int64
final_zone_device_power_timeseries,manual_review,bool
final_zone_device_power_timeseries,notes,object
final_zone_device_power_timeseries,outlet_count,int64
final_zone_device_power_timeseries,outlet_density_per_100m2,float64
final_zone_device_power_timeseries,final_epd_w_m2,float64
final_zone_device_power_timeseries,epd_total_design_power_w,float64
final_zone_device_power_timeseries,epd_source,object
final_zone_device_power_timeseries,epd_method,object
final_zone_device_power_timeseries,epd_confidence,object
final_zone_device_power_timeseries,epd_qa_flags,object
final_zone_device_power_timeseries,sql_floor_area_m2,float64
final_zone_device_power_timeseries,sql_volume_m3,float64
final_zone_device_power_timeseries,sql_ceiling_height_m,float64
final_zone_device_power_timeseries,area_m2_original,float64
final_zone_device_power_timeseries,area_m2_final,float64
final_zone_device_power_timeseries,area_m2_final_source,object
final_zone_device_power_timeseries,volume_m3_final,float64
final_zone_device_power_timeseries,height_m_final,float64
final_zone_device_power_timeseries,lpd_total_design_power_w_final,float64
final_zone_device_power_timeseries,epd_total_design_power_w_final,float64
final_zone_device_power_timeseries,cooling_setpoint_c,float64
final_zone_device_power_timeseries,heating_setpoint_c,float64
final_zone_device_power_timeseries,zone_air_relative_humidity_pct,float64
final_zone_device_power_timeseries,zone_air_temperature_c,float64
final_zone_device_power_timeseries,zone_people_occupant_count,float64
final_zone_device_power_timeseries,equipment_electricity_j,float64
final_zone_device_power_timeseries,lights_electricity_j,float64
final_zone_device_power_timeseries,zone_total_electricity_j,float64
final_zone_device_power_timeseries,cooling_electricity_j,float64
final_zone_device_power_timeseries,cooling_power_w,float64
final_zone_device_power_timeseries,fan_electricity_j,float64
final_zone_device_power_timeseries,fan_power_w,float64
final_zone_device_power_timeseries,heating_electricity_j,float64
final_zone_device_power_timeseries,heating_power_w,float64
final_zone_device_power_timeseries,ptac_electricity_j,float64
final_zone_device_power_timeseries,ptac_power_w,float64
final_zone_device_power_timeseries,lights_electricity_kwh,float64
final_zone_device_power_timeseries,lights_electricity_kw,float64
final_zone_device_power_timeseries,equipment_electricity_kwh,float64
final_zone_device_power_timeseries,equipment_electricity_kw,float64
final_zone_device_power_timeseries,zone_total_electricity_kwh,float64
final_zone_device_power_timeseries,zone_total_electricity_kw,float64
final_zone_device_power_timeseries,fan_electricity_kwh,float64
final_zone_device_power_timeseries,fan_electricity_kw,float64
final_zone_device_power_timeseries,cooling_electricity_kwh,float64
final_zone_device_power_timeseries,cooling_electricity_kw,float64
final_zone_device_power_timeseries,heating_electricity_kwh,float64
final_zone_device_power_timeseries,heating_electricity_kw,float64
final_zone_device_power_timeseries,ptac_electricity_kwh,float64
final_zone_device_power_timeseries,ptac_electricity_kw,float64
final_zone_device_power_timeseries,fan_power_kw,float64
final_zone_device_power_timeseries,cooling_power_kw,float64
final_zone_device_power_timeseries,heating_power_kw,float64
final_zone_device_power_timeseries,ptac_power_kw,float64
final_zone_device_power_timeseries,hvac_electricity_kwh,float64
final_zone_device_power_timeseries,hvac_power_kw,float64
final_zone_device_power_timeseries,hvac_aggregation_method,object
final_zone_device_power_timeseries,lights_design_power_kw,float64
final_zone_device_power_timeseries,equipment_design_power_kw,float64
final_zone_device_power_timeseries,target_lights_power_kw,float64
final_zone_device_power_timeseries,target_equipment_power_kw,float64
final_zone_device_power_timeseries,target_hvac_power_kw,float64
final_zone_device_power_timeseries,target_total_zone_power_kw,float64
final_zone_device_power_timeseries,dataset_split,object
final_zone_device_power_timeseries,is_train,bool
final_zone_device_power_timeseries,is_validation,bool
final_zone_device_power_timeseries,is_test,bool
final_zone_device_power_timeseries,target_source,object
final_zone_device_power_timeseries,simulation_run_id,object
final_zone_device_power_timeseries,source_energyplus_sql,object
final_zone_device_power_timeseries,source_zone_lpd_epd,object
final_zone_device_power_timeseries,electricity_facility_kw,float64
final_zone_device_power_timeseries,electricity_hvac_kw,float64
final_zone_device_power_timeseries,interiorlights_electricity_kw,float64
final_zone_device_power_timeseries,interiorequipment_electricity_kw,float64
final_zone_device_power_timeseries,electricity_facility_kwh,float64
final_zone_device_power_timeseries,electricity_hvac_kwh,float64
final_zone_device_power_timeseries,interiorlights_electricity_kwh,float64
final_zone_device_power_timeseries,interiorequipment_electricity_kwh,float64
final_zone_device_power_timeseries,target_facility_power_kw,float64
final_zone_device_power_timeseries,target_building_hvac_power_kw,float64
final_zone_device_power_timeseries,building_meter_context_source,object
final_device_power_timeseries,timestep_index,int64
final_device_power_timeseries,datetime,datetime64[ns]
final_device_power_timeseries,zone_id,object
final_device_power_timeseries,eplus_zone_name,object
final_device_power_timeseries,floor_id,object
final_device_power_timeseries,room_type,object
final_device_power_timeseries,device_id,object
final_device_power_timeseries,device_type,object
final_device_power_timeseries,energy_kwh,float64
final_device_power_timeseries,power_kw,float64
final_building_meter_timeseries,timestep_index,int64
final_building_meter_timeseries,datetime,datetime64[ns]
final_building_meter_timeseries,Cooling:Electricity,float64
final_building_meter_timeseries,Electricity:Facility,float64
final_building_meter_timeseries,Electricity:HVAC,float64
final_building_meter_timeseries,Fans:Electricity,float64
final_building_meter_timeseries,Heating:Electricity,float64
final_building_meter_timeseries,InteriorEquipment:Electricity,float64
final_building_meter_timeseries,InteriorLights:Electricity,float64
final_building_meter_timeseries,electricity_facility_kwh,float64
final_building_meter_timeseries,electricity_facility_kw,float64
final_building_meter_timeseries,electricity_hvac_kwh,float64
final_building_meter_timeseries,electricity_hvac_kw,float64
final_building_meter_timeseries,interiorlights_electricity_kwh,float64
final_building_meter_timeseries,interiorlights_electricity_kw,float64
final_building_meter_timeseries,interiorequipment_electricity_kwh,float64
final_building_meter_timeseries,interiorequipment_electricity_kw,float64
final_building_meter_timeseries,heating_electricity_kwh,float64
final_building_meter_timeseries,heating_electricity_kw,float64
final_building_meter_timeseries,cooling_electricity_kwh,float64
final_building_meter_timeseries,cooling_electricity_kw,float64
final_building_meter_timeseries,fans_electricity_kwh,float64
final_building_meter_timeseries,fans_electricity_kw,float64
final_zone_metadata,zone_id,object
final_zone_metadata,eplus_zone_name,object
final_zone_metadata,room_id,object
final_zone_metadata,room_name,object
final_zone_metadata,floor_id,object
final_zone_metadata,room_type,object
final_zone_metadata,area_m2,float64
final_zone_metadata,area_source,object
final_zone_metadata,area_confidence,object
final_zone_metadata,final_lpd_w_m2,float64
final_zone_metadata,lpd_total_design_power_w,float64
final_zone_metadata,lpd_source,object
final_zone_metadata,lpd_method,object
final_zone_metadata,lpd_confidence,object
final_zone_metadata,lpd_qa_flags,object
final_zone_metadata,fixture_count_total,int64
final_zone_metadata,fixture_count_valid_power,int64
final_zone_metadata,fixture_count_imputed_power,int64
final_zone_metadata,fixture_count_zero_or_missing_power,int64
final_zone_metadata,manual_review,bool
final_zone_metadata,notes,object
final_zone_metadata,outlet_count,int64
final_zone_metadata,outlet_density_per_100m2,float64
final_zone_metadata,final_epd_w_m2,float64
final_zone_metadata,epd_total_design_power_w,float64
final_zone_metadata,epd_source,object
final_zone_metadata,epd_method,object
final_zone_metadata,epd_confidence,object
final_zone_metadata,epd_qa_flags,object
final_zone_metadata,sql_floor_area_m2,float64
final_zone_metadata,sql_volume_m3,float64
final_zone_metadata,sql_ceiling_height_m,float64
final_zone_metadata,area_m2_original,float64
final_zone_metadata,area_m2_final,float64
final_zone_metadata,area_m2_final_source,object
final_zone_metadata,volume_m3_final,float64
final_zone_metadata,height_m_final,float64
final_zone_metadata,lpd_total_design_power_w_final,float64
final_zone_metadata,epd_total_design_power_w_final,float64
raw_energyplus_report_data_dictionary,ReportDataDictionaryIndex,int64
raw_energyplus_report_data_dictionary,IsMeter,int64
raw_energyplus_report_data_dictionary,Type,object
raw_energyplus_report_data_dictionary,IndexGroup,object
raw_energyplus_report_data_dictionary,TimestepType,object
raw_energyplus_report_data_dictionary,KeyValue,object
raw_energyplus_report_data_dictionary,Name,object
raw_energyplus_report_data_dictionary,ReportingFrequency,object
raw_energyplus_report_data_dictionary,ScheduleName,object
raw_energyplus_report_data_dictionary,Units,object
