guid,cx,cy,cz,sx,sy,sz
38X23Znkr2XwCxu0x$LNZN,65.897,68.432,53.25,5.351,4.896,3.1
2QItuhiMv8FuPzP3Ob1NJb,28.567,36.321,53.375,7.671,7.002,3.35
1VG1As2i9CNAES2YSNmuPp,67.936,73.47,53.25,16.161,21.383,3.1
2jhaHNpo55guKudM9wZa7X,61.503,64.414,53.375,5.697,5.283,3.35
2Xe6rbtYzAqhfyXbKpPSmb,63.289,71.504,53.6,8.16,8.205,3.8
2T7gRjEFvBgRaNLZHAfExM,16.889,40.09,53.6,5.807,6.157,3.8
3jzuKaCoj7duM8YUpx6KXa,16.796,40.599,57.375,5.993,7.343,3.75
3jzuKaCoj7duM8YUpx6Khz,22.716,35.711,57.375,6.057,5.579,3.75
2Xe6rbtYzAqhfyXbKpPSqj,26.704,40.446,53.6,8.16,8.205,3.8
1mvwF0Vfb88Ad0u_CxGh8v,21.363,33.858,53.375,3.043,3.216,3.35
3eHc4RiQ5C9u5ExHSqeXsn,63.289,71.504,57.6,8.16,8.205,4.2
1CEwDhGXz6rf1qZbuMomS3,26.704,40.446,57.6,8.16,8.205,4.2
1mvwF0Vfb88Ad0u_CxGgL$,22.016,39.548,53.375,2.595,2.48,3.35
1mvwF0Vfb88Ad0u_CxGhB1,19.371,36.202,53.375,3.053,3.223,3.35
1mvwF0Vfb88Ad0u_CxGgLZ,24.459,36.67,53.375,3.857,3.966,3.35
1mvwF0Vfb88Ad0u_CxGgLz,22.922,38.481,53.375,2.595,2.48,3.35
0qZtwNut1C6QT5uDplIctO,33.544,35.081,53.375,2.027,2.063,3.35
3jCS7E4Nb3qBkgP0MIotWt,31.379,42.348,56.75,3.031,2.818,2.5
0qZtwNut1C6QT5uDplIc_N,26.541,33.432,53.375,14.914,11.541,3.35
3jCS7E4Nb3qBkgP0MIoqGs,58.588,69.941,57.375,3.535,3.512,3.75
3jCS7E4Nb3qBkgP0MIoqPQ,35.943,45.633,57.375,3.53,3.433,3.75
3jzuKaCoj7duM8YUpx6IdZ,26.171,46.492,57.375,17.728,13.174,3.75
3b3bVmE5P4tBwtV6k_$euI,67.404,69.292,65.4,3.318,3.307,3.5
3b3bVmE5P4tBwtV6k_$eqi,28.22,36.026,65.4,3.318,3.307,3.5
3b3bVmE5P4tBwtV6k_$e0O,28.22,36.026,69.315,3.318,3.307,3.43
3b3bVmE5P4tBwtV6k_$e4Q,67.404,69.292,69.315,3.318,3.307,3.43
0tWM7C8ybBZQ4c5DL1$lzg,52.223,66.015,57.0,12.425,12.96,3.0
2W9Cn8Smn0xwjpo8lUzELc,44.321,47.479,53.375,26.508,23.505,3.35
3xtnrBUgHBCwRh$xfyB4Ic,23.146,35.217,61.45,6.484,5.874,3.5
1d5Bmt5s12axuaGQA2o2sr,39.578,56.8,53.6,46.724,33.394,3.8
3H2AkZFqzChQTN2UOTW$62,63.289,71.504,61.675,8.16,8.205,3.95
2jhaHNpo55guKudM9wZa8A,55.085,58.964,53.375,2.388,2.475,3.35
3H2AkZFqzChQTN2UOTW$7V,26.704,40.446,61.675,8.16,8.205,3.95
2jhaHNpo55guKudM9wZa88,56.133,59.854,53.375,2.274,2.378,3.35
2jhaHNpo55guKudM9wZa8E,57.943,61.391,53.375,3.913,3.769,3.35
2jhaHNpo55guKudM9wZa8C,61.067,60.518,53.375,11.441,9.645,3.35
2EmhthfYTF$hx0gAAa2KtI,66.5,75.353,57.6,20.115,18.087,4.2
2jhaHNpo55guKudM9wZa9q,58.106,55.867,53.375,2.133,2.028,3.35
2T7gRjEFvBgRaNLZHAfEyt,22.242,43.118,53.375,9.059,8.425,3.35
3xtnrBUgHBCwRh$xfyB1VR,53.253,61.8,61.675,27.124,29.313,3.95
3xtnrBUgHBCwRh$xfyB8zE,45.903,49.988,57.6,48.302,41.848,4.2
0SCHpckP52uejwTkqQpmjR,37.18,55.762,53.375,6.772,6.423,3.35
1xBFBS5N18MfdblikYnUB3,26.704,40.446,65.625,8.16,8.205,3.95
0SCHpckP52uejwTkqQpmjD,39.693,52.803,53.375,6.829,6.666,3.35
3xtnrBUgHBCwRh$xfyB4IZ,31.213,42.686,61.675,34.612,29.961,3.95
2T7gRjEFvBgRaNLZHAfEyu,32.428,49.109,53.6,12.21,11.963,3.8
3xtnrBUgHBCwRh$xfyB626,5.654,36.124,57.2,30.976,31.843,3.4
1VG1As2i9CNAES2YSNmuWI,41.755,58.494,53.375,9.302,10.141,3.35
0SCHpckP52uejwTkqQppMc,44.913,61.258,53.375,9.345,10.012,3.35
3VjWRBBpP8T92ljLOxqe1U,50.391,65.825,53.375,8.276,9.271,3.35
36Blhdds16DOgkiAVsPwfN,47.821,63.681,53.6,8.803,9.461,3.8
0SCHpckP52uejwTkqQppMe,52.656,67.721,53.375,8.586,9.148,3.35
1xBFBS5N18MfdblikYnUBD,63.289,71.504,65.625,8.16,8.205,3.95
0SCHpckP52uejwTkqQppKQ,59.41,76.14,53.375,7.892,8.023,3.35
1ct5EDQ3f00e2ZWyRvpNyV,55.025,69.797,53.375,8.27,9.19,3.35
0_1BZVDc5BxwJSwnsVxduk,55.26,73.979,53.375,4.531,4.399,3.35
3H2AkZFqzChQTN2UOTW$6p,67.253,73.575,61.45,18.015,21.8,3.5
1xBFBS5N18MfdblikYnV4N,67.126,73.449,65.4,17.762,21.547,3.5
0Q4MSUQx531vKL_w06AgFD,63.289,71.504,69.76,8.16,8.205,4.32
1xBFBS5N18MfdblikYnHqn,24.353,37.08,65.4,20.735,19.211,3.5
0SCHpckP52uejwTkqQpmS1,22.062,36.504,74.407,8.587,8.567,4.974
0Q4MSUQx531vKL_w06AgFJ,26.72,40.459,69.76,8.19,8.231,4.32
1xBFBS5N18MfdblikYnHqd,36.92,46.6,65.4,23.183,22.083,3.5
3xtnrBUgHBCwRh$xfyB8NH,26.701,40.442,74.42,8.152,8.198,5.0
1VG1As2i9CNAES2YSNmu8x,38.429,54.446,74.42,30.752,28.698,5.0
36Blhdds16DOgkiAVsP5oS,31.864,54.619,69.4,8.223,7.777,3.6
36Blhdds16DOgkiAVsP5o5,26.523,49.979,69.4,6.538,6.358,3.6
3JI0SE8z59FBfLCYYLZpFk,63.335,71.457,74.42,8.238,8.299,5.0
36Blhdds16DOgkiAVsP68h,31.864,54.619,65.4,8.223,7.777,3.5
0C83sfLu9E9eQLJY7z8Xye,55.48,65.604,74.42,14.934,12.135,5.0
36Blhdds16DOgkiAVsP68f,26.523,49.979,65.4,6.538,6.358,3.5
3eHc4RiQ5C9u5ExHSqeXq_,25.444,35.896,57.375,1.951,1.847,3.75
1xBFBS5N18MfdblikYnUB5,53.321,61.722,65.4,27.261,29.469,3.5
0dEbiQb1r6fw7CerSu3TPT,28.566,31.156,57.5,3.726,3.623,4.0
0dEbiQb1r6fw7CerSu3TP7,33.119,35.054,57.5,3.417,3.425,4.0
0dEbiQb1r6fw7CerSu3TPG,26.085,29.05,57.5,3.848,3.726,4.0
0dEbiQb1r6fw7CerSu3TPQ,30.92,33.155,57.5,3.593,3.51,4.0
0Q4MSUQx531vKL_w06AgEr,24.353,37.08,69.535,20.735,19.211,3.87
3I0Kk3lRLDw8v2w0zwpO7q,58.364,56.453,57.5,3.593,3.51,4.0
3I0Kk3lRLDw8v2w0zwpO6E,62.938,60.337,57.5,3.593,3.51,4.0
0Q4MSUQx531vKL_w06AgEp,36.923,46.6,69.535,23.191,22.083,3.87
3I0Kk3lRLDw8v2w0zwpO7p,60.651,58.395,57.5,3.593,3.51,4.0
0dEbiQb1r6fw7CerSu3VCo,36.619,38.083,57.5,5.918,5.302,4.0
2Hutkn_Qz94QfZXkZOQRZT,57.45,66.909,57.375,5.696,6.017,3.75
2T7gRjEFvBgRaNLZHAfFF9,18.862,41.258,57.375,2.313,2.374,3.75
0Q4MSUQx531vKL_w06Ag5$,67.253,73.449,69.76,18.015,21.547,4.32
0dEbiQb1r6fw7CerSu3VYp,68.671,65.142,57.5,5.711,5.43,4.0
2T7gRjEFvBgRaNLZHAfFFA,20.03,39.882,57.375,1.957,1.955,3.75
2T7gRjEFvBgRaNLZHAfFFF,22.179,38.703,57.375,4.274,4.246,3.75
3I0Kk3lRLDw8v2w0zwpO6D,65.247,62.294,57.5,3.638,3.541,4.0
2zj90NfNL65vjsnTedSQQ0,24.988,44.399,57.375,3.286,3.141,3.75
2T7gRjEFvBgRaNLZHAfF$0,19.775,36.629,57.375,4.059,4.053,3.75
04HSGJmcD3bRsP58HjpIbw,22.849,42.584,57.375,2.898,2.811,3.75
2DkesObgH6N86CUi08jTVS,67.494,73.025,57.375,3.754,3.827,3.75
2T7gRjEFvBgRaNLZHAfFna,22.087,33.053,57.375,1.945,1.839,3.75
2DkesObgH6N86CUi08jTVP,65.472,75.408,57.375,3.754,3.827,3.75
3eHc4RiQ5C9u5ExHSqeWrs,54.609,69.251,57.375,2.019,2.012,3.75
0dEbiQb1r6fw7CerSu3UST,56.462,76.513,57.375,2.399,2.403,3.75
3eHc4RiQ5C9u5ExHSqeWU8,53.808,73.512,57.375,6.238,5.731,3.75
3fHyVhsY1FRR0IcklmG_av,53.606,70.433,57.375,2.084,2.089,3.75
1JtggxsYb29w1PJMKPQcP0,19.844,36.364,61.45,4.108,4.351,3.5
3eHc4RiQ5C9u5ExHSqeW5C,56.359,71.787,57.375,5.212,5.063,3.75
1auGEtVRb3NhFYfyi2P6vw,35.574,57.761,61.45,6.495,6.326,3.5
1JtggxsYb29w1PJMKPQcVO,22.207,38.005,61.45,4.809,3.928,3.5
1auGEtVRb3NhFYfyi2P6vo,31.05,53.886,61.45,6.595,6.31,3.5
3xtnrBUgHBCwRh$xfyB0P8,31.563,46.466,61.45,3.966,4.068,3.5
0_1BZVDc5BxwJSwnsVxdyn,35.791,45.503,60.95,3.225,3.174,2.5
3xtnrBUgHBCwRh$xfyB0P5,33.404,44.297,61.45,3.261,3.237,3.5
2Ps55StZr5yRhh62nE9q9Y,40.148,61.686,61.45,3.603,3.786,3.5
2Ps55StZr5yRhh62nE9q9d,38.684,60.369,61.45,3.567,3.904,3.5
2Ps55StZr5yRhh62nE9q9X,41.662,62.929,61.45,3.667,3.755,3.5
2xP8Oy$oH5JP_1bqohjpab,39.615,51.406,61.45,6.645,6.95,3.5
05MwHiS6LD$BIlHfVKbp73,41.802,53.263,61.45,5.525,6.006,3.5
2xP8Oy$oH5JP_1bqohjpax,44.772,65.527,61.45,6.595,6.326,3.5
36Blhdds16DOgkiAVsPxcV,33.846,47.882,61.675,4.267,4.577,3.95
3xtnrBUgHBCwRh$xfyB0Sg,44.969,57.963,61.45,4.462,4.345,3.5
1JtggxsYb29w1PJMKPQdmN,42.924,55.807,61.45,4.139,4.438,3.5
2xP8Oy$oH5JP_1bqohjpac,48.842,59.24,61.45,6.805,7.085,3.5
3mv9CJhk92VvyjKaBF2owy,44.868,53.488,61.45,3.537,3.373,3.5
3xtnrBUgHBCwRh$xfyB1Vr,58.401,65.518,61.45,3.261,3.237,3.5
3xtnrBUgHBCwRh$xfyB1Vw,56.56,67.687,61.45,3.967,4.068,3.5
3xtnrBUgHBCwRh$xfyB0PT,46.946,55.619,61.45,4.361,4.429,3.5
2xP8Oy$oH5JP_1bqohjpaK,57.781,76.657,61.45,5.17,5.117,3.5
3WcAivD6L3qPu4fxZ5CkSo,59.761,74.325,61.45,4.555,4.392,3.5
3xtnrBUgHBCwRh$xfyB_pa,64.503,66.829,61.45,2.564,2.666,3.5
3b3bVmE5P4tBwtV6k__NIS,67.404,69.292,61.45,3.318,3.307,3.5
3xtnrBUgHBCwRh$xfyB_pX,65.765,67.9,61.45,2.784,2.854,3.5
36Blhdds16DOgkiAVsP4Vi,50.984,61.059,61.675,5.162,5.677,3.95
2xP8Oy$oH5JP_1bqohjoaW,22.514,46.684,65.4,5.17,5.052,3.5
0Q4MSUQx531vKL_w06Agzb,29.859,37.418,65.4,2.784,2.854,3.5
3WcAivD6L3qPu4fxZ5Ck9N,24.494,44.384,65.4,4.555,4.392,3.5
0Q4MSUQx531vKL_w06Agzh,31.121,38.489,65.4,2.563,2.666,3.5
1xBFBS5N18MfdblikYnHqf,31.563,46.466,65.4,3.967,4.068,3.5
2xP8Oy$oH5JP_1bqohjo_k,36.334,58.449,65.4,4.959,4.937,3.5
1xBFBS5N18MfdblikYnHqx,35.791,45.503,65.4,3.225,3.174,3.5
2xP8Oy$oH5JP_1bqohjoaJ,39.615,51.406,65.4,6.645,6.95,3.5
3NFa8Y9Jf5RwZBvcfUAVIO,40.148,61.686,65.4,3.603,3.786,3.5
1xBFBS5N18MfdblikYnHqh,33.404,44.297,65.4,3.261,3.237,3.5
3NFa8Y9Jf5RwZBvcfUAVIT,38.684,60.366,65.4,3.567,3.911,3.5
1xBFBS5N18MfdblikYnHqv,41.798,53.26,65.4,5.517,6.0,3.5
3NFa8Y9Jf5RwZBvcfUAVIR,41.662,62.929,65.4,3.667,3.755,3.5
0FmGuf5a54T9pmsaibMAqb,44.772,65.527,65.4,6.595,6.326,3.5
1xBFBS5N18MfdblikYnHqt,42.923,55.804,65.4,4.14,4.444,3.5
0tWM7C8ybBZQ4c5DL1$lwj,40.744,57.142,57.375,25.85,22.745,3.75
1xBFBS5N18MfdblikYnHqZ,46.946,55.619,65.4,4.361,4.429,3.5
3mv9CJhk92VvyjKaBF2o$T,44.864,53.488,65.4,3.544,3.373,3.5
3WcAivD6L3qPu4fxZ5Clqa,59.761,74.325,65.4,4.555,4.392,3.5
1xBFBS5N18MfdblikYnHqX,44.969,57.963,65.4,4.462,4.345,3.5
2xP8Oy$oH5JP_1bqohjoa7,57.781,76.657,65.4,5.17,5.117,3.5
0Q4MSUQx531vKL_w06Agwi,64.503,66.829,65.4,2.564,2.666,3.5
2xP8Oy$oH5JP_1bqohjoDx,22.53,46.684,69.4,5.201,5.052,3.6
0Q4MSUQx531vKL_w06Ag5j,31.136,38.502,69.315,2.594,2.692,3.43
